web-scraper-order,web-scraper-start-url,authors,authors-href,affiliation,topics
"1571793037-440","https://doi.org/10.1109/TSC.2014.2346492","Marin Silic","https://ieeexplore.ieee.org/author/37706958200","University of Zagreb, Faculty of Electrical Engineering and Computing","cryptography,"
"1571798297-1882","https://doi.org/10.1109/TSC.2015.2475743","Wenbin Yao","https://ieeexplore.ieee.org/author/37085483862","Beijing Key Laboratory of Intelligent Telecommunications Software and Multimedia","cloud computing,"
"1571825031-6971","https://doi.org/10.1109/SCC.2015.61","Xueying Wang","https://ieeexplore.ieee.org/author/37085501500","Sch. of Comput. Sci.","cloud computing,"
"1571829340-7728","https://doi.org/10.1109/SCC.2013.27","Hamamache Kheddouci","https://ieeexplore.ieee.org/author/37273242400","Université Claude Bernard Lyon 1","graph theory,"
"1571892654-14731","https://doi.org/10.1109/ICWS.2018.00061","Tooba Aamir","https://ieeexplore.ieee.org/author/37086050272","null","Web services,"
"1571801701-2709","https://doi.org/10.1109/TSC.2015.2481900","Sen Su","https://ieeexplore.ieee.org/author/37406996900","Beijing University of Posts and Telecommunications","data privacy,"
"1571838125-9275","https://doi.org/10.1109/SCC.2015.19","Qihao Zhu","https://ieeexplore.ieee.org/author/37085579817","Carnegie Mellon Univ.","Markov processes,"
"1571837082-9103","https://doi.org/10.1109/SCC.2011.33","Dongman Lee","https://ieeexplore.ieee.org/author/37280604900","School of Computing","Internet of Things,"
"1571877410-13444","https://doi.org/10.1109/ICWS.2006.50","Shuchao Wan","https://ieeexplore.ieee.org/author/37832800800","Chinese Academy of Sciences","Web services,"
"1571798198-1841","https://doi.org/10.1109/TSC.2009.21","Hsin-yi Jiang","https://ieeexplore.ieee.org/author/37591413500","Dept. of Comput. Sci.","Web services,"
"1571854064-11009","https://doi.org/10.1109/SCC.2006.105","Ali Bahrami","https://ieeexplore.ieee.org/author/38474672500","Boeing Research & Technology","Internet,"
"1571802421-2932","https://doi.org/10.1109/TSC.2010.5","Maude Manouvrier","https://ieeexplore.ieee.org/author/37393202300","LAMSADE","Web services,"
"1571863272-12256","https://doi.org/10.1109/SCC.2010.61","Noëmie Simoni","https://ieeexplore.ieee.org/author/37269729400","Telecom ParisTech, Paris, France","virtualisation,"
"1571880498-13719","https://doi.org/10.1109/ICWS.2013.30","Eduardo Feitosa","https://ieeexplore.ieee.org/author/38466973600","Institute of Computing","authorisation,"
"1571798086-1798","https://doi.org/10.1109/TSC.2014.2381496","Yang Zhong","https://ieeexplore.ieee.org/author/37085490752","Department of Automation","Web services,"
"1571820935-6277","https://doi.org/10.1109/SCC.2014.11","Nicolas Figay","https://ieeexplore.ieee.org/author/37589597100","AIRBUS Defence & Space, Toulouse, France","contracts,"
"1571803848-3363","https://doi.org/10.1109/TSC.2018.2823705","","https://orcid.org/0000-0001-9052-5756","null","null"
"1571803694-3317","https://doi.org/10.1109/TSC.2015.2464810","Chunxiao Jiang","https://ieeexplore.ieee.org/author/37398501200","Key Laboratory of EDA","resource allocation,"
"1571884608-14047","https://doi.org/10.1109/ICWS.2006.28","Zha Li","https://ieeexplore.ieee.org/author/38274243500","Chinese Academy of Sciences, Beijing","Web services,"
"1571857804-11708","https://doi.org/10.1109/SCC.2005.50","R. Weinreich","https://ieeexplore.ieee.org/author/37550937900","Johannes Kepler University Linz","service-oriented architecture,"
"1571832837-8357","https://doi.org/10.1109/SCC.2009.43","Stéphane Lavirotte","https://ieeexplore.ieee.org/author/37395092200","University Côte d'Azur","Internet of Things,"
"1571838002-9252","https://doi.org/10.1109/SERVICES.2007.70","Naiwen Lin","https://ieeexplore.ieee.org/author/37942035900","University of Maryland","Web services,"
"1571818304-5785","https://doi.org/10.1109/SCC.2004.1358026","Jadi Yu","https://ieeexplore.ieee.org/author/37278400200","Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., China","grid computing,"
"1571879171-13614","https://doi.org/10.1109/ICWS.2016.61","Jie Liang","https://ieeexplore.ieee.org/author/37085840510","China Inf. Technol. Security Evaluation Center, China","Android (operating system),"
"1571807442-4107","https://doi.org/10.1109/TSC.2016.2579621","Nick R. T. P. van Beest","https://ieeexplore.ieee.org/author/38228334500","Data61","business data processing,"
"1571797486-1645","https://doi.org/10.1109/TSC.2010.31","Antonio Lioy","https://ieeexplore.ieee.org/author/37324547500","Politecnico di Torino","virtualisation,"
"1571819536-6009","https://doi.org/10.1109/SCC.2010.45","Aleksander Slominski","https://ieeexplore.ieee.org/author/37267881900","IBM T.J Watson Research Center","cloud computing,"
"1571833176-8412","https://doi.org/10.1109/SCC.2004.1358046","Chun Chen","https://ieeexplore.ieee.org/author/37082227600","College of Computer Science","data mining,"
"1571888548-14362","https://doi.org/10.1109/ICWS.2011.21","Latifur Khan","https://ieeexplore.ieee.org/author/37267088800","Department of Computer Science","pattern classification,"
"1571879332-13627","https://doi.org/10.1109/ICWS.2010.60","Liliana Pasquale","https://ieeexplore.ieee.org/author/37545440900","Computer Science Department","cyber-physical systems,"
"1571806604-4018","https://doi.org/10.1109/TSC.2011.8","Robert Szymacha","https://ieeexplore.ieee.org/author/37265532000","AGH University of Science and Technology, Kraków","adaptive systems,"
"1571830590-7956","https://doi.org/10.1109/SCC.2007.106","Xin Wan","https://ieeexplore.ieee.org/author/37941670200","Beijing Jiaotong University, Beijing, China","Web services,"
"1571801908-2774","https://doi.org/10.1109/TSC.2015.2407877","Qibo Sun","https://ieeexplore.ieee.org/author/37531906100","State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications, China","Web services,"
"1571799767-2307","https://doi.org/10.1109/TSC.2011.28","Jean-Francois Mehaut","https://ieeexplore.ieee.org/author/37317902100","Univ. Grenoble Alpes","scheduling,"
"1571842664-9850","https://doi.org/10.1109/SCC.2016.100","Karan K. Budhraja","https://ieeexplore.ieee.org/author/37085706802","University of Maryland, Baltimore County","data privacy,"
"1571864971-12414","https://doi.org/10.1109/SCC.2007.113","Xiaohui Xu","https://ieeexplore.ieee.org/author/37653889100","Dept. of Comput. Sci. & Eng.","object-oriented programming,"
"1571804896-3570","https://doi.org/10.1109/TSC.2011.57","Wenbing Zhao","https://ieeexplore.ieee.org/author/37335717700","Department of Electrical Engineering and Computer Science","health care,"
"1571850126-10603","https://doi.org/10.1109/SCC.2009.37","Dianhui Chu","https://ieeexplore.ieee.org/author/37530311900","Harbin Institute of Technology","Web services,"
"1571821379-6357","https://doi.org/10.1109/SCC.2008.136","Sambit Sahu","https://ieeexplore.ieee.org/author/37284123400","IBM Research, India and USA","mobile computing,"
"1571805522-3752","https://doi.org/10.1109/TSC.2014.2355828","Daeyoung Kim","https://ieeexplore.ieee.org/author/37279318300","School of Computing","access protocols,"
"1571867720-12654","https://doi.org/10.1109/SCC.2006.46","Chengfang Hu","https://ieeexplore.ieee.org/author/37835757500","Spatial Information Technology Research Institute","cataloguing,"
"1571876803-13384","https://doi.org/10.1109/ICWS.2017.61","Jürgen Cito","https://ieeexplore.ieee.org/author/37086126210","null","Web services,"
"1571798295-1881","https://doi.org/10.1109/TSC.2015.2475743","Xiaolin Gui","https://ieeexplore.ieee.org/author/37294986200","School of Electronic and Information Engineering","mobile computing,"
"1571855382-11250","https://doi.org/10.1109/SCC.2005.111","Zhengding Lu","https://ieeexplore.ieee.org/author/37277027600","School of Computer Science and Technology Huazhong University of Science and Technology Wuhan, China","information retrieval,"
"1571876482-13356","https://doi.org/10.1109/ECOWS.2005.10","D. Hammer","https://ieeexplore.ieee.org/author/37273949100","University of Groningen, The Netherlands","software architecture,"
"1571802970-3043","https://doi.org/10.1109/TSC.2013.49","Saurabh Kumar Garg","https://ieeexplore.ieee.org/author/37652310100","Department of Computing and Information System","cloud computing,"
"1571867722-12656","https://doi.org/10.1109/SCC.2006.46","Min Min","https://ieeexplore.ieee.org/author/38506801700","Department of Land Management","Web services,"
"1571858239-11752","https://doi.org/10.1109/SCC.2014.44","Yoohwan Kim","https://ieeexplore.ieee.org/author/37085351587","Department of Computer","learning (artificial intelligence),"
"1571883063-13920","https://doi.org/10.1109/ICWS.2008.96","Aurélien Moreau","https://ieeexplore.ieee.org/author/37317854300","LIP6","Web services,"
"1571833280-8423","https://doi.org/10.1109/SCC.2006.104","Kerrie Holley","https://ieeexplore.ieee.org/author/37829938500","IBM","Big Data,"
"1571804019-3399","https://doi.org/10.1109/TSC.2009.18","Sanjay Goel","https://ieeexplore.ieee.org/author/37288548600","Department of Info Sec & Digital Forensics","data privacy,"
"1571870646-12917","https://doi.org/10.1109/SCC.2018.00008","Xiangping Zhang","https://ieeexplore.ieee.org/author/37086462080","Hunan University of Science and Technology","Web services,"
"1571797120-1474","https://doi.org/10.1109/TSC.2016.2612186","Wei Cao","https://ieeexplore.ieee.org/author/37086616001","Alibaba Inc., Hangzhou, China","cloud computing,"
"1571799024-2073","https://doi.org/10.1109/TSC.2016.2565470","Haiyang Wang","https://ieeexplore.ieee.org/author/37538487200","Department of Computer Science, University of Minnesota at Duluth, USA","cloud computing,"
"1571838433-9329","https://doi.org/10.1109/SCC.2006.61","Quanming Xu","https://ieeexplore.ieee.org/author/37832843900","Hangzhou Enjoyor Electronics Co.","automated highways,"
"1571793438-698","https://doi.org/10.1109/TSC.2009.7","Young U. Ryu","https://ieeexplore.ieee.org/author/37607082700","University of Texas at Dallas, Richardson","regression analysis,"
"1571843970-9969","https://doi.org/10.1109/SCC.2018.00040","Nesrine Kaaniche","https://ieeexplore.ieee.org/author/37085475373","SAMOVAR","cryptography,"
"1571862183-12148","https://doi.org/10.1109/SCC.2014.27","Jaewook Byun","https://ieeexplore.ieee.org/author/37085451241","Auto-ID Labs and School of Computing","Internet of Things,"
"1571802558-2961","https://doi.org/10.1109/TSC.2010.29","Mario Verdicchio","https://ieeexplore.ieee.org/author/37396472900","Univ. degli Studi di Bergamo, Bergamo, Italy","authorisation,"
"1571807410-4085","https://doi.org/10.1109/TSC.2015.2396076","","https://orcid.org/0000-0003-4832-6328","null","null"
"1571878123-13513","https://doi.org/10.1109/ICWS.2010.15","Sebastian Speiser","https://ieeexplore.ieee.org/author/37546738300","Karlsruhe Institute of Technology (KIT), Germany","Internet,"
"1571872106-13026","https://doi.org/10.1109/SCC.2006.64","M. Orlowska","https://ieeexplore.ieee.org/author/37296790100","Polish-Japanese Inst. of Inf. Technol., Warsaw","business data processing,"
"1571797071-1450","https://doi.org/10.1109/TSC.2016.2518161","Jietao Dong","https://ieeexplore.ieee.org/author/37086357441","National CIMS Engineering Research Center","cloud computing,"
"1571868089-12681","https://doi.org/10.1109/SCC.2012.9","Guoqiang Li","https://ieeexplore.ieee.org/author/37857844300","State Key Lab. of Networking & Switching Technol.","pattern classification,"
"1571853992-11000","https://doi.org/10.1109/SCC.2004.1358067","Ying Zhang","https://ieeexplore.ieee.org/author/37279958400","Sch. of Comput. Sci., BeiHang Univ., China","grid computing,"
"1571812747-4665","https://doi.org/10.1109/TSC.2016.2617327","Michael Vögler","https://ieeexplore.ieee.org/author/37070370500","Distributed Systems Group","Internet of Things,"
"1571855289-11214","https://doi.org/10.1109/SCC.2011.69","Jonathan Munson","https://ieeexplore.ieee.org/author/37300690900","IBM Research Division","Web services,"
"1571835988-8926","https://doi.org/10.1109/SCC.2004.1358062","M. Kenyon","https://ieeexplore.ieee.org/author/37282990600","null","Internet,"
"1571804619-3520","https://doi.org/10.1109/TSC.2015.2511008","Yingjiu Li","https://ieeexplore.ieee.org/author/37422519400","Singapore Management University","cloud computing,"
"1571836004-8929","https://doi.org/10.1109/SCC.2004.1358062","D. Hwang","https://ieeexplore.ieee.org/author/37267231500","Comput. Inf. Syst. Dept.","Internet,"
"1571874702-13214","https://doi.org/10.1109/ICWS.2008.28","Xiaozhu Kang","https://ieeexplore.ieee.org/author/37883193500","null","Internet,"
"1571805773-3846","https://doi.org/10.1109/TSC.2016.2598335","Ghulam Muhammad","https://ieeexplore.ieee.org/author/37395625800","Department of Computer Engineering","cloud computing,"
"1571877482-13452","https://doi.org/10.1109/ICWS.2011.88","Bochao Wang","https://ieeexplore.ieee.org/author/37899796700","null","Web services,"
"1571882698-13893","https://doi.org/10.1109/ICWS.2005.83","M. Hafner","https://ieeexplore.ieee.org/author/37549653900","University of Innsbruck, Austria","Petri nets,"
"1571857140-11655","https://doi.org/10.1109/SCC.2008.152","Jorge Ejarque","https://ieeexplore.ieee.org/author/37660777400","Barcelona Supercomputing Center","cloud computing,"
"1571812996-4720","https://doi.org/10.1109/TSC.2015.2481880","","https://orcid.org/0000-0002-8967-8525","null","null"
"1571802381-2924","https://doi.org/10.1109/TSC.2011.2","Daniel Schall","https://ieeexplore.ieee.org/author/37390959500","Siemens Corporate Technology","software architecture,"
"1571851916-10779","https://doi.org/10.1109/SCC.2013.119","Shyam Pusapaty","https://ieeexplore.ieee.org/author/37086771941","Software Group Services","business data processing,"
"1571856081-11489","https://doi.org/10.1109/SCC.2016.112","Ian Bayley","https://ieeexplore.ieee.org/author/37692657100","Oxford Brookes University","cloud computing,"
"1571854250-11045","https://doi.org/10.1109/SCC.2013.26","Yutian Sun","https://ieeexplore.ieee.org/author/37086676988","Department of Computer Science, UC Santa Barbara, USA","business data processing,"
"1571883569-13954","https://doi.org/10.1109/ICWS.2013.62","Peng Zhang","https://ieeexplore.ieee.org/author/37400528200","Dept. of Computer Science and Technology","Markov processes,"
"1571806487-3998","https://doi.org/10.1109/TSC.2008.4","Vipin Chaudhary","https://ieeexplore.ieee.org/author/37270863200","Department of Computer Science and Engineering","radio spectrum management,"
"1571824988-6965","https://doi.org/10.1109/SCC.2010.50","Vijil Chenthamarakshan","https://ieeexplore.ieee.org/author/37400864700","IBM Research Division","Internet,"
"1571812504-4621","https://doi.org/10.1109/TSC.2014.2300486","George Spanoudakis","https://ieeexplore.ieee.org/author/37281790700","Sphynx Technology Solutions AG, Zug, Switzerland","Big Data,"
"1571875122-13252","https://doi.org/10.1109/ICWS.2010.81","Eddy Truyen","https://ieeexplore.ieee.org/author/37303752300","iMinds - DistriNet","cloud computing,"
"1571877133-13412","https://doi.org/10.1109/ICWS.2015.74","Chien-An Lai","https://ieeexplore.ieee.org/author/37085529246","Georgia Inst. of Technol.","disasters,"
"1571828051-7500","https://doi.org/10.1109/SCC.2014.24","Nelson Souto Rosa","https://ieeexplore.ieee.org/author/37564298200","Federal University of Pernambuco","service-oriented architecture,"
"1571860350-11953","https://doi.org/10.1109/SCC.2005.79","T. Kanungo","https://ieeexplore.ieee.org/author/37329384800","IBM Almanden Res. Center","parameter estimation,"
"1571804355-3470","https://doi.org/10.1109/TSC.2014.2381251","J. Lakshmi","https://ieeexplore.ieee.org/author/37561755900","Indian Institute of Science, Bangalore","cloud computing,"
"1571830846-8003","https://doi.org/10.1109/SCC.2005.16","T. Trapp","https://ieeexplore.ieee.org/author/37567001000","null","cellular radio,"
"1571877857-13489","https://doi.org/10.1109/ICWS.2017.85","Shengpeng Liu","https://ieeexplore.ieee.org/author/37086076865","College of Computer Science","Web services,"
"1571843290-9908","https://doi.org/10.1109/SCC.2011.109","Lei Yang","https://ieeexplore.ieee.org/author/37292057500","College of Information Science and Engineering","genetic algorithms,"
"1571855743-11364","https://doi.org/10.1109/SCC.2013.53","Fadi Mohsen","https://ieeexplore.ieee.org/author/37085364317","University of Michigan-Flint","mobile computing,"
"1571803830-3356","https://doi.org/10.1109/TSC.2018.2823705","","https://orcid.org/0000-0002-5374-7293","null","null"
"1571829649-7781","https://doi.org/10.1109/SCC.2018.00018","Arun Kumar","https://ieeexplore.ieee.org/author/37086052114","IBM Research–India","bank data processing,"
"1571800804-2522","https://doi.org/10.1109/TSC.2010.23","Caspar Ryan","https://ieeexplore.ieee.org/author/37288092800","School of Science","HVAC,"
"1571891388-14600","https://doi.org/10.1109/ICWS.2006.133","T. Moyaux","https://ieeexplore.ieee.org/author/37285111600","Department of Computer Science","multi-agent systems,"
"1571850800-10660","https://doi.org/10.1109/SCC.2007.38","Amit Fisher","https://ieeexplore.ieee.org/author/37311033200","Haifa Watson Research Centers","business data processing,"
"1571801842-2747","https://doi.org/10.1109/TSC.2016.2547518","Jia Zhang","https://ieeexplore.ieee.org/author/37085631428","null","null"
"1571881462-13796","https://doi.org/10.1109/ICWS.2018.00038","Kai Xu","https://ieeexplore.ieee.org/author/37086462694","null","Bayes methods,"
"1571893316-14792","https://doi.org/10.1109/ICWS.2016.100","Yan Cheng","https://ieeexplore.ieee.org/author/37085837859","Sch. of Comput. Sci. & Technol.","Web services,"
"1571825018-6969","https://doi.org/10.1109/SCC.2015.61","Tong Zhao","https://ieeexplore.ieee.org/author/37085521857","Sch. of Comput. Sci.","Big Data,"
"1571873987-13151","https://doi.org/10.1109/ICWS.2004.1314790","C. Chung","https://ieeexplore.ieee.org/author/37276895400","Telcordia Technol. Inc","3G mobile communication,"
